Time resolution is 1 ps
clock_counter=         53, di_re=01111011100011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         54, di_re=01111011010110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         55, di_re=01111011001000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         56, di_re=01111010111011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         57, di_re=01111010101100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         58, di_re=01111010011110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         59, di_re=01111010001111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         60, di_re=01111010000000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         61, di_re=01111001110001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         62, di_re=01111001100001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         63, di_re=01111001010001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         64, di_re=01111001000001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         65, di_re=01111000110001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         66, di_re=01111000100000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         67, di_re=01111000001111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         68, di_re=01110111111101, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         69, di_re=01110111101100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         70, di_re=01110111011010, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         71, di_re=01110111001000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         72, di_re=01110110110101, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         73, di_re=01110110100010, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         74, di_re=01110110001111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         75, di_re=01110101111100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         76, di_re=01110101101000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         77, di_re=01110101010100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         78, di_re=01110101000000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         79, di_re=01110100101011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         80, di_re=01110100010111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         81, di_re=01110100000010, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         82, di_re=01110011101100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         83, di_re=01110011010111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         84, di_re=01110011000001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         85, di_re=01110010101011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         86, di_re=01110010010100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         87, di_re=01110001111101, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         88, di_re=01110001100110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         89, di_re=01110001001111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         90, di_re=01110000110111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         91, di_re=01110000100000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         92, di_re=01110000001000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         93, di_re=01101111101111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         94, di_re=01101111010111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         95, di_re=01101110111110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
